Категория;Отрасль;Таджикский;Русский (черновик);Исправление;Таблицы
показатель;Транспорт и связь;Шумораи истифодабарандагони шабакаи «Интернет» (ҳаз. муштарӣ);Количество пользователей сети «Интернет» (тыс пользователей);;Ҷадвали 28
показатель;Транспорт и связь;Шумораи истгоҳҳои телефонӣ (адад);Количество телефонных станций (единиц);;Ҷадвали 28
показатель;Транспорт и связь;Ҳаҷми боркашонӣ –ҳамагӣ (млн. тонна);Объем перевозок грузов – всего (млн. тонн);;Ҷадвали 15
показатель;Транспорт и связь;Ҳами хизматрасонии алоқа ба аҳолӣ (ҳазор сомонӣ);Объем услуг связи, предоставляемых населению (тыс сомони);;Ҷадвали 28
показатель;Транспорт и связь;Гардиши мусофирон - ҳамагӣ (млн. мусс/км);Пассажирооборот – всего (млн. пасс/км);;Ҷадвали 15
показатель;Транспорт и связь;Мусофиркашонӣ – ҳамагӣ (ҳазор мусофир);Пассажирские перевозки – всего (тыс. пассажиров);;Ҷадвали 15
показатель;Транспорт и связь;Фарогирии Интернет дар ҷумҳурӣ (бо фоиз);Покрытие Интернетом в республике (в процентах);;Ҷадвали 28
показатель;Транспорт и связь;Ғунҷоиши истгоҳҳои телефонӣ (ҳаз. рақам);Пропускная способность телефонных станций (тыс номеров);;Ҷадвали 28
показатель;Транспорт и связь;Дарозии каналҳои телефонии байнишаҳрӣ (ҳаз. канал/км);Протяженность междугородных телефонных каналов (тыс канал/км);;Ҷадвали 28
показатель;Транспорт и связь;нақлиёт;транспорт;;Ҷадвали 33
показатель;Транспорт и связь;бо нақлиёти барқӣ -троллейбусҳо;электрическим транспортом - троллейбусами;;Ҷадвали 15
показатель;Транспорт и связь;бо нақлиёти баркӣ -троллейбусҳо;электрическим транспортом - троллейбусами;;Ҷадвали 15
показатель;Финансы, инвестиции, налоги;Беморхонаҳо (кат);Больницы (кроватей);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;буҷети давлатӣ;государственный бюджет;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;грантҳо;гранты;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Муассисаҳои томактабӣ (чой );Дошкольные учреждения (единиц);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;манбаъҳои дигар;другие источники;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Хонаҳои истикоматӣ(ҳазор метри мураббаъ);Жилые дома (тыс. квадратных метров);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Маблағгузорӣ ба сармояи асосӣ аз ҳисоби ҳамаи манбаъҳои маблағгузорӣ(млн. сомонӣ);Инвестиции в основной капитал из всех источников финансирования (млн сомони);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;сармояи хориҷӣ;иностранный капитал;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Ба истифода додани фондҳои асосӣ аз ҳисоби ҳамаи манбаҳои маблағгузорӣ(млн. сомонӣ);Использование основных фондов из всех источников финансирования (млн сомони);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;қарзҳо;кредиты;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Муассисаҳои таълимоти умумӣ(чой );Общеобразовательные учреждения (единиц);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Даромади умумӣ аз хусусигардони (млн.сомонӣ);Общий доход от частной деятельности (млн сомони);;Ҷадвали 33
показатель;Финансы, инвестиции, налоги;Ҳаҷми умумии сармояи хориҷӣ(қарз, грант, мус.) (млн. доллар);Общий объем иностранного капитала (кредит, грант, и т.д.) (млн долларов);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Хаҷми сармоягузории субъектҳо (млн. сомонӣ);Объем инвестиций субъектов (млн сомони);;Ҷадвали 36
показатель;Финансы, инвестиции, налоги;Хаҷми сармоягузории субъектҳо (млн.сомонӣ);Объем инвестиций субъектов (млн. сомони);;Ҷадвали 36
показатель;Финансы, инвестиции, налоги;Дармонгоҳҳо (кабул дар як баст);Поликлиники (приемов в смену);;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;сармояи мустақим;прямые инвестиции;;Ҷадвали 12
показатель;Финансы, инвестиции, налоги;Маблағгузории КИТ (корҳои илми татқиқотӣ) – ҳамагӣ(ҳазор сомонї);Финансирование НИР (научно-исследовательские работы) – всего (тыс. сомони);;Ҷадвали 21
показатель;Энергетика;Силсилаи НБО-и Варзоб млн. кВт/с;Варзобский каскад ГЭС млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;Силсилаи НБО-и Вахш млн. кВт/с;Вахшский каскад ГЭС млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;Заминҳои барқароршаванда (гектар);Восстановленные земли (гектар);;Ҷадвали 9
показатель;Энергетика;НБО-и Бойғозӣ млн. кВт/с;ГЭС Бойгозий млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;НБО-и Қайроқум млн. кВт/с;ГЭС Кайраккум млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;млн.сомонӣ;млн сомони;;Ҷадвали 6
показатель;Энергетика;НБО-и Норак млн. кВт/с;Нурекская ГЭС млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;Ширкати «Помир Энерҷӣ» млн. кВт/с;ОАО «Помир Энерджи» млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;ҷСК НБО «Сангтӯда-1» млн. кВт/с;ОАО НБО «Сангтуда-1» млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;ҷСК НБО «Сангтӯда-2» млн. кВт/с.;ОАО НБО «Сангтуда-2» млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;Истеҳсоли кувваи гармӣ –ҳамагӣ ҳаз. Гкал;Производство тепловой энергии – всего тыс. Гкал;;Ҷадвали 6
показатель;Энергетика;Истеҳсоли нерӯи барқ – млн. кВт/с ҳамагӣ;Производство электроэнергии – млн кВт·ч всего;;Ҷадвали 6
показатель;Энергетика;Истеҳсоли нерӯи барқ ҳамагӣ, бе НБО-ҳои хурд млн. кВт/с;Производство электроэнергии всего, без малых ГЭС млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;НБО-и Роғун млн. кВт/с;Рогунская ГЭС млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;Марказҳои барқу гармдиҳӣ-ҳамагӣ млн. кВт/с;ТЭЦ – всего млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;МБГ-1 ш. Душанбе млн. кВт/с;ТЭЦ-1 г. Душанбе млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;МБГ-1 ш. Душанбе, ҳазор Гкал.;ТЭЦ-1 г. Душанбе тыс. Гкал;;Ҷадвали 6
показатель;Энергетика;МБГ-2 ш. Душанбе.млн. кВт/с;ТЭЦ-2 г. Душанбе млн кВт·ч;;Ҷадвали 6
показатель;Энергетика;МБГ-2 ш. Душанбе ҳазор Гкал;ТЭЦ-2 г. Душанбе тыс. Гкал;;Ҷадвали 6
показатель;Энергетика;Ноқилҳои барқӣ (тонна);Электроды (тонна);;Ҷадвали 37
показатель;Энергетика: нефть и газ;Истихроҷи нафт (якҷоя бо конденсати газӣ) - ҳамагӣ, тонна;Добыча нефти (вместе с газовым конденсатом) – всего тонн;;Ҷадвали 7
показатель;Энергетика: нефть и газ;Истихроҷи гази табиӣ –ҳамагӣ ҳаз.м3, аз ҷумла;Добыча природного газа – всего тыс.м3, в том числе;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶСК «Нафту газ»;ОАО «Нефть и газ»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶСК «Суғднафтугаз»;ОАО «Суғднафтугаз»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶДММ «Азизӣ-1»;ООО «Азизӣ-1»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶДММ «Петролеум – Суғд»;ООО «Петролеум – Суғд»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶДММ «Петролеум - Суғд»;ООО «Петролеум-Сугд»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶДММ «Салоса»;ООО «Салоса»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶДММ «Сетос»;ООО «Сетос»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;Коркарди нафт (тонна);Переработка нефти (тонна);;Ҷадвали 37
показатель;Энергетика: нефть и газ;ҶСП «Суғднафтугаз»;Предприятие «Суғднафтугаз»;;Ҷадвали 7
показатель;Энергетика: нефть и газ;ҶСП «Ҳасан ва К»;Предприятие «Ҳасан ва К»;;Ҷадвали 7
